Date,Close,High,Low,Open,Time
2014-42-25,4075.5601,4126.9800,4068.1001,4125.1602,2087139968
2014-42-28,4074.3999,4111.5898,4014.1699,4091.8101,2348320000
2014-42-29,4103.5400,4111.4502,4070.2500,4089.5100,1911239936
2014-43-30,4114.5601,4116.1401,4070.6299,4085.1899,2151399936
2014-50-01,4127.4502,4149.5601,4105.6099,4121.2500,2077040000
2014-50-02,4123.8999,4145.0601,4115.8901,4138.6299,1844790016
2014-50-05,4138.0601,4138.3398,4086.3501,4099.2500,1561170048
2014-50-06,4080.7600,4132.4600,4080.7600,4128.2202,1850610048
2014-50-07,4067.6699,4091.0300,4021.0500,4085.4900,2486030080
2014-50-08,4051.5000,4109.2002,4039.9099,4053.2800,2411940096
2014-50-09,4071.8701,4071.8701,4025.2400,4043.4399,1976160000
2014-51-12,4143.8599,4146.5400,4092.0901,4092.8401,1880019968
2014-51-13,4130.1699,4155.1299,4128.0098,4144.8999,1923480064
2014-51-14,4100.6299,4132.3301,4093.8301,4122.0801,1764429952
2014-51-15,4069.2900,4098.2500,4035.9600,4096.5298,2083030016
2014-51-16,4090.5901,4091.1599,4044.2700,4070.3501,1741069952
2014-51-19,4125.8101,4128.4702,4075.7000,4080.3301,1601400064
2014-52-20,4096.8901,4124.8599,4080.6101,4121.1099,1797910016
2014-52-21,4131.5400,4133.6099,4103.6099,4105.9600,1703500032
2014-52-22,4154.3398,4164.8501,4131.4702,4136.0898,1835810048
2014-52-23,4185.8101,4186.5801,4148.2998,4159.7798,1536610048
2014-52-27,4237.0698,4237.0698,4204.7202,4206.4399,1812329984
2014-52-28,4225.0801,4238.1699,4216.8901,4234.9600,1785139968
2014-52-29,4247.9502,4247.9502,4228.9600,4238.0400,1714000000
2014-53-30,4242.6201,4252.0801,4221.9502,4251.4902,1903660032
2014-60-02,4237.2002,4247.9600,4207.6099,4247.9600,1631309952
2014-60-03,4234.0801,4240.3501,4215.7998,4222.0400,1718640000
2014-60-04,4251.6401,4256.1899,4216.2300,4222.2100,1610089984
2014-60-05,4296.2300,4299.5000,4241.6802,4259.1201,1926749952
2014-60-06,4321.3999,4322.5098,4305.7402,4312.7598,1616649984
2014-60-09,4336.2402,4346.7402,4320.2798,4324.3501,1783059968
2014-61-10,4338.0000,4338.8701,4319.9302,4329.2002,1787120000
2014-61-11,4331.9302,4338.2100,4315.4902,4322.9199,1778460032
2014-61-12,4297.6299,4328.3501,4284.5298,4323.1099,1908189952
2014-61-13,4310.6499,4317.6699,4288.4102,4315.3101,1754560000
2014-61-16,4321.1001,4326.8901,4296.2598,4303.9302,1675120000
2014-61-17,4337.2300,4346.1201,4311.1499,4316.0098,1814360064
2014-61-18,4362.8398,4365.1001,4320.5400,4341.1802,1860659968
2014-61-19,4359.3301,4372.1802,4339.6099,4370.1401,1845459968
2014-62-20,4368.0400,4368.7998,4354.0298,4365.3701,2721380096
2014-62-23,4368.6802,4371.8101,4358.6802,4368.9600,1712930048
2014-62-24,4350.3501,4399.8701,4342.8999,4367.8999,2014700032
2014-62-25,4379.7598,4383.5498,4339.4102,4341.8198,1722819968
2014-62-26,4379.0498,4379.7998,4347.4502,4379.4399,1554070016
2014-62-27,4397.9302,4398.8501,4371.6001,4371.7998,3964930048
2014-63-30,4408.1802,4417.4600,4396.5898,4398.3701,1848109952
2014-70-01,4458.6499,4471.6001,4424.4302,4424.7100,1942550016
2014-70-02,4457.7300,4466.9199,4450.8701,4457.8599,1599480064
2014-70-03,4485.9302,4485.9302,4463.8501,4472.8901,1001729984
2014-70-07,4451.5298,4478.0200,4447.6001,4477.7402,1691389952
2014-70-08,4391.4600,4443.5601,4372.0400,4442.8701,2221819904
2014-70-09,4419.0298,4421.9302,4388.0098,4403.0298,1736960000
2014-71-10,4396.2002,4415.8501,4351.0400,4352.0400,1682919936
2014-71-11,4415.4902,4417.1602,4389.2900,4401.0498,1511250048
2014-71-14,4440.4199,4451.6001,4432.9502,4441.3901,1579660032
2014-71-15,4416.3901,4451.9302,4389.7002,4444.9102,1772029952
2014-71-16,4425.9702,4448.8701,4419.7100,4446.1699,2059340032
2014-71-17,4363.4502,4425.3799,4352.2300,4411.5200,2055239936
2014-71-18,4432.1499,4434.4399,4378.2202,4379.9399,1823580032
2014-72-21,4424.7002,4432.4199,4404.5098,4421.2002,1557820032
2014-72-22,4456.0200,4464.1299,4443.3501,4444.9399,1724440064
2014-72-23,4473.7002,4480.7300,4457.9502,4468.1602,1909810048
2014-72-24,4472.1099,4485.5000,4465.9399,4481.6099,1935090048
2014-72-25,4449.5601,4457.9502,4430.4302,4448.0601,1711430016
2014-72-28,4444.9102,4455.3901,4413.9199,4451.1201,1783250048
2014-72-29,4442.7002,4470.9702,4441.0298,4456.0698,2090809984
2014-73-30,4462.8999,4476.0601,4444.5098,4468.4399,1872429952
2014-73-31,4369.7700,4430.7998,4367.1499,4421.2900,2273380096
2014-80-01,4352.6401,4385.0498,4324.0200,4363.3901,2050339968
